type	fname	year	month	day	positive	negative	x	y
ex312	2013-4-23-ex312.txt	2013	4	23	0.10531933130288809	0.15751703410914378	2.1106078417412445E-4	3.1566539901632017E-4
ex321	2013-4-23-ex321.txt	2013	4	23	0.08323263538982197	0.14817227827461504	3.037687422986203E-4	5.407747382285221E-4
ex231	2009-10-27-ex231.txt	2009	10	27	0.011150383891240458	0.01913105191227436	1.296556266423309E-4	2.224540920031902E-4
ex311	2009-10-27-ex311.txt	2009	10	27	0.17041186636346997	0.24600981564429536	3.361180796123669E-4	4.8522646083687447E-4
ex101	2009-11-10-ex101.txt	2009	11	10	1.4045533545497109	2.1046561123626586	2.701064143364829E-4	4.0474156006974207E-4
ex103	2009-11-10-ex103.txt	2009	11	10	0.4581870748594974	0.7444962076015637	8.199482370427657E-5	1.332312468864645E-4
ex232	2009-20-27-ex232.txt	2009	20	27	0.011150383891240458	0.01913105191227436	7.964559922314612E-5	1.366503708019597E-4
ex231	2010-10-27-ex231.txt	2010	10	27	0.011150383891240458	0.01913105191227436	1.296556266423309E-4	2.224540920031902E-4
ex232	2010-10-27-ex232.txt	2010	10	27	0.011150383891240458	0.01913105191227436	7.483479121637891E-5	1.2839632155888832E-4
ex231	2011-10-26-ex231.txt	2011	10	26	0.015964781087615253	0.026992685821685923	1.8563698939087504E-4	3.1386843978704556E-4
ex311	2011-10-26-ex311.txt	2011	10	26	0.13802594112699856	0.2075625491181853	2.7170460851771376E-4	4.08587695114538E-4
ex312	2011-10-26-ex312.txt	2011	10	26	0.12358274953787418	0.18397764738995065	2.4327312901156338E-4	3.621607232085642E-4
ex321	2011-10-26-ex321.txt	2011	10	26	0.1278341709547838	0.2020254205332425	5.07278456169777E-4	8.016881767192161E-4
ex231	2012-10-31-ex231.txt	2012	10	31	0.015964781087615253	0.026992685821685923	1.8563698939087504E-4	3.1386843978704556E-4
ex311	2012-10-31-ex311.txt	2012	10	31	0.13802594112699856	0.2075625491181853	2.7170460851771376E-4	4.08587695114538E-4
ex312	2012-10-31-ex312.txt	2012	10	31	0.12358274953787418	0.18397764738995062	2.4327312901156338E-4	3.621607232085642E-4
ex321	2012-10-31-ex321.txt	2012	10	31	0.1278341709547838	0.20202542053324246	4.549258752839281E-4	7.189516744955248E-4
10q/k-ex312	2009-7-22-10q-ex312.txt	2009	7	22	0.10761796845025895	0.1626527279158822	2.118463945871239E-4	3.2018253526748465E-4
10q/k-ex321	2009-7-22-10q-ex321.txt	2009	7	22	0.11561856062629339	0.1866195448007251	4.5163500244645854E-4	7.289825968778324E-4
